id,link,image,title
1,https://streamer.eagrpservices.com/audio/medradio.mp3,./image/med.png,Med Radio
2,https://admdn7ta.cdn.mangomolo.com/quranrdo/quranrdo.stream_aac/chunklist.m3u8,./image/coran.png,Radio Coran 
3,https://asmaki.ma:8000/radio.mp3,./image/zinbladi.png Zin B'ladi,Radio Zin B'ladi
4,https://medinafm.ice.infomaniak.ch/medinafm-128.mp3,./image/medina.png,Medina FM 
5,https://streaming.rimradio.ma/live,./image/rimradio.png Rim Radio,Rim Radio
6,https://streamer.eagrpservices.com/audio/chadafm.mp3,./image/chada.png,Chada FM 
7,https://streaming2.medi1tv.com/webradio/radio_mag.stream_aac/chunklist_w1607380952.m3u8,./image/medi.png,Medi 1 
8,http://radiomars.ice.infomaniak.ch/radiomars-128.mp3,./image/mars.png,Radio Mars 
9,https://aswat.ice.infomaniak.ch/aswat-high.mp3,./image/aswat.png Aswat,Aswat 
10,https://listen.radioking.com/radio/252934/stream/297385,./image/radiomanarat.png Manarat Edu,Manarat Edu
11,https://hitradio-maroc.ice.infomaniak.ch/hitradio-maroc-128.mp3,./image/hit.png,Hit Radio 
12,http://mgharba.ice.infomaniak.ch/mgharba-128.mp3,./image/hit-mgharba.png,Hit Radio Mgharba 
13,https://french.ice.infomaniak.ch/french-128.mp3,./image/french.png,Hit Radio French 
14,http://hitradio-maroc.ice.infomaniak.ch/hitradio-maroc-128.mp3,./image/hit-buzz.png,Hit Radio Buzz 
15,https://gold.ice.infomaniak.ch/gold-128.mp3,./image/hit-radio-gold.png,Hit Radio Gold 
16,https://cover2.ice.infomaniak.ch/cover2-128.mp3,./image/cover.png,Hit Radio Cover 
17,http://dancefloor.ice.infomaniak.ch/dancefloor-128.mp3,./image/hit-radio-dancefloor.png,Hit Radio Dancefloor 
18,https://latino.ice.infomaniak.ch/latino-128.mp3,./image/hitradiolatino.png,Hit Radio Latino 
19,https://u80.ice.infomaniak.ch/u80-128.aac,./image/u80.png,Urban 80's 
20,https://udance.ice.infomaniak.ch/udance-128.aac,./image/udance.png,Urban Dance 
21,https://urban.ice.infomaniak.ch/urban-128.aac,./image/urban.png,Urban 
22,https://uradio-aac.ice.infomaniak.ch/uradio.aac,./image/uradio.png,Urban Radio 
23,https://upop.ice.infomaniak.ch/upop-128.aac,./image/upop.png,Urban PoP 
24,https://u90.ice.infomaniak.ch/u90-128.aac,./image/u90.png,Urban 90's 
25,https://manager8.streamradio.fr:1775/stream,./image/star-maroc.png,Radio Star 
26,https://live-hls-audio-web-aja.getaj.net/VOICE-AJA/01.m3u8,./image/aljazeera.png,Al-Jazeera 
27,https://montecarlodoualiya128k.ice.infomaniak.ch/mc-doualiya.mp3,./image/monte-calro-doualiya.png,Monte Carlo 
28,https://cdnamd-hls-globecast.akamaized.net/live/ramdisk/radio_2m/radio_hls_ts_hy217612tge1f21j83/radio_2m-mp4a_130400_qad=1.m3u8,./image/2m.png,Radio 2M 
29,https://stream2.atlanticradio.ma:9300/stream,./image/atlantic.png,Atlantic Radio 
30,http://radiosoleil.ice.infomaniak.ch/radiosoleil-32.mp3,./image/soleil.png,Radio Soleil 
31,http://broadcast.infomaniak.net/onlyrai-high.mp3,./image/only-rai.png,Radio Only RAI
32,https://scdn.nrjaudio.fm/adwz1/ma/55820/aac_64.mp3?origine=nrjmaroc.com,./image/nrj-maroc.png,NRJ Maroc 
33,https://mbn-channel-04.akacast.akamaistream.net/7/26/233453/v1/ibb.akacast.akamaistream.net/mbn_channel_04,./image/sawa.png,Radio Sawa 
34,https://newpub-stream01.itols.com:9001/casa.ogg,./image/mfm.png,MFM Radio 
35,https://cdnamd-hls-globecast.akamaized.net/live/ramdisk/radio_chaine_inter/hls_snrt_radio/radio_chaine_inter-mp4a_130400_qad=1.m3u8,./image/chaine.png,Radio Chaine Inter 
36,https://cdnamd-hls-globecast.akamaized.net/live/ramdisk/radio_idaa_watanya/hls_snrt_radio/radio_idaa_watanya-mp4a_130400_qad=1.m3u8,./image/watania.png,Idaa Al Watania 
37,https://cdnamd-hls-globecast.akamaized.net/live/ramdisk/radio_mohammed_6/hls_snrt_radio/radio_mohammed_6-mp4a_130400_qad=1.m3u8,./image/assadissa.png,Radio Assadisa FM 
38,https://cdnamd-hls-globecast.akamaized.net/live/ramdisk/radio_amazigh/hls_snrt_radio/radio_amazigh-mp4a_130400_qad=1.m3u8,./image/amazighia.png,Radio Amazighia FM 
39,https://cdnamd-hls-globecast.akamaized.net/live/ramdisk/radio_meknes/hls_snrt_radio/radio_meknes-mp4a_130400_qad=1.m3u8,./image/meknes.png,Meknes SNRT
40,https://cdnamd-hls-globecast.akamaized.net/live/ramdisk/radio_fes/hls_snrt_radio/radio_fes-mp4a_130400_qad=1.m3u8,./image/fes.png,FES SNRT
41,https://cdnamd-hls-globecast.akamaized.net/live/ramdisk/radio_tetouan/hls_snrt_radio/radio_tetouan-mp4a_130400_qad=1.m3u8,./image/tetouan.png,TETOUAN SNRT
42,https://cdnamd-hls-globecast.akamaized.net/live/ramdisk/radio_tanger/hls_snrt_radio/radio_tanger-mp4a_130400_qad=1.m3u8,./image/tanger.png,TANGER SNRT
43,https://cdnamd-hls-globecast.akamaized.net/live/ramdisk/radio_marrakech/hls_snrt_radio/radio_marrakech-mp4a_130400_qad=1.m3u8,./image/marrakech.png,MARRAKECH SNRT
44,https://cdnamd-hls-globecast.akamaized.net/live/ramdisk/radio_casa/hls_snrt_radio/radio_casa-mp4a_130400_ara=1.m3u8,./image/casa.png,CASA SNRT
45,https://cdnamd-hls-globecast.akamaized.net/live/ramdisk/radio_oujda/hls_snrt_radio/radio_oujda-mp4a_130400_qad=1.m3u8,./image/oujda.png,OUJDA SNRT
46,https://cdnamd-hls-globecast.akamaized.net/live/ramdisk/radio_dakhla/hls_snrt_radio/radio_dakhla-mp4a_130400_qad=1.m3u8,./image/dakhla.png,DAKHLA SNRT
47,https://cdnamd-hls-globecast.akamaized.net/live/ramdisk/radio_agadir/hls_snrt_radio/radio_agadir-mp4a_130400_qad=1.m3u8,./image/agadir.png,AGADIR SNRT
48,https://cdnamd-hls-globecast.akamaized.net/live/ramdisk/radio_el_hoceima/hls_snrt_radio/radio_el_hoceima-mp4a_130400_qad=1.m3u8,./image/hoceima.png,HOCEIMA SNRT
49,http://channel0.moroccanvoice.com:8000/;stream/1,./image/morrocan.png,Moroccan Voice Radio 
50,http://stream1.coran.tk:8005/stream/1/,./image/chabab-maroc.png,Radio Chabab Maroc 
51,http://radio.nessradio.net:8000/nessradio.mp3,./image/ness.png,Nass Radio 
52,http://rpc.ice.infomaniak.ch/rpc-casa.mp3,./image/plus-casablanca.png,Radio Plus Casablanca 
53,http://rpc.ice.infomaniak.ch/rpc-kesh.mp3,./image/plus-marrakech.png,Radio Plus Marrakech 
54,http://rpc.ice.infomaniak.ch/rpc-agadir.mp3,./image/plus-agadir.png,Radio Plus Agadir 
55,https://radio.yabiladi.com:8002/;stream.mp3,./image/yabiladi.png,Radio Yabiladi 
56,https://izlan.fr/radios/atlas/stream,./image/izlanzik.png,Izlanzik Radio 
57,https://streamer.eagrpservices.com/audio/capradio.mp3,./image/cap.png,Cap Radio 
58,http://162.210.196.145:20016/stream.mp3,./image/sawt-ouarzazate.png, Sawt Ouarzazate 
59,http://stream3.broadcast-associes.com:8405/Radio-Orient,./image/orient-fm.png,Orient FM 
60,https://streaming.radionomy.com/MarocMusic,./image/music.png,Radio Maroc Music 
61,http://radiotangermed-22.ice.infomaniak.ch/radiotangermed-22-128.mp3,./image/radiotangermed.png,TANGER MED
62,http://stream.zenolive.com/bqdbb6hd0neuv,./image/atbir.png,Radio Atbir 
63,https://radiocampus.ice.infomaniak.ch/radiocampus-128.mp3,./image/oxygene.png,Oxygene Radio
